TID,VAR,TRP,VAL,TRF,GRD
DC157312193,TC,R,0,RS,
DC157312193,TC,RG,0,RS,
DC157312193,TC,RM,0,RS,
DC157312193,TC,RS,0,RS,
DC158612231,TC,R,0,RS,
DC158612231,TC,RG,0,RS,
DC158612231,TC,RM,0,RS,
DC158612231,TC,RS,0,RS,0.0
DC158612232,TC,R,0,RS,
DC158612232,TC,RG,0,RS,
DC158612232,TC,RM,0,RS,
DC158612232,TC,RS,0,RS,0.0
DC158612233,TC,R,1,RS,
DC158612233,TC,RG,1,RS,
DC158612233,TC,RM,1,RS,
DC158612233,TC,RS,1,RS,
DC159310951,TC,R,0,R,0.0
DC159310951,TC,RG,0,R,
DC159310951,TC,RM,0,R,
DC159310951,TC,RS,0,R,
DC159310952,TC,R,1,RS,
DC159310952,TC,RG,1,RS,
DC159310952,TC,RM,1,RS,
DC159310952,TC,RS,1,RS,0.0
DC159310953,TC,R,0,RS,
DC159310953,TC,RG,0,RS,
DC159310953,TC,RM,0,RS,
DC159310953,TC,RS,0,RS,0.0
DC159310954,TC,R,0,RS,
DC159310954,TC,RG,0,RS,
DC159310954,TC,RM,0,RS,
DC159310954,TC,RS,0,RS,0.0
DC159310955,TC,R,1,RS,
DC159310955,TC,RG,1,RS,
DC159310955,TC,RM,1,RS,
DC159310955,TC,RS,1,RS,
DC160013181,TC,R,1,R,0.0
DC160013181,TC,RG,1,R,
DC160013181,TC,RM,1,R,
DC160013181,TC,RS,1,R,
DC160013182,TC,R,1,R,0.0
DC160013182,TC,RG,1,R,
DC160013182,TC,RM,1,R,
DC160013182,TC,RS,1,R,
DC160013183,TC,R,0,R,1.0
DC160013183,TC,RG,0,R,
DC160013183,TC,RM,0,R,
DC160013183,TC,RS,0,R,
DC160013184,TC,R,1,R,
DC160013184,TC,RG,1,R,
DC160013184,TC,RM,1,R,
DC160013184,TC,RS,1,R,
DC160112861,TC,R,1,RM,
DC160112861,TC,RG,1,RM,
DC160112861,TC,RM,1,RM,0.0
DC160112861,TC,RS,1,RM,
DC160112862,TC,R,1,RM,
DC160112862,TC,RG,1,RM,
DC160112862,TC,RM,1,RM,1.0
DC160112862,TC,RS,1,RM,
DC160112863,TC,R,1,RM,
DC160112863,TC,RG,1,RM,
DC160112863,TC,RM,1,RM,1.0
DC160112863,TC,RS,1,RM,
DC160112864,TC,R,1,RM,
DC160112864,TC,RG,1,RM,
DC160112864,TC,RM,1,RM,
DC160112864,TC,RS,1,RM,
DC162712241,TC,R,1,RS,
DC162712241,TC,RG,1,RS,
DC162712241,TC,RM,1,RS,
DC162712241,TC,RS,1,RS,1.0
DC162712242,TC,R,0,RS,
