TID,VAR,TRP,VAL,TRF,GRD
DC130810502,EGFR,R,81.45864279807151,RS,
DC130810502,TC,RS,0.0,RS,
DC130810502,DEGFR,RS,-0.0660639560974396,RS,
DC130810502,EGFR,RS,89.6578602146458,RS,
DC130810502,TC,RM,0.0,RS,
DC130810502,DEGFR,RM,0.0163547992706298,RS,
DC130810502,EGFR,RM,97.57006,RS,
DC133214271,TC,R,1.0,R,1.0
DC133214271,DEGFR,R,-0.1289438351926145,R,-10.666666666666666
DC133214271,EGFR,R,65.32921236055391,R,67.0
DC133214271,TC,RS,0.0,R,
DC133214271,DEGFR,RS,-0.0804456858591991,R,
DC133214271,EGFR,RS,68.96657356056006,R,
DC133214271,TC,RM,0.0,R,
DC133214271,DEGFR,RM,-0.0246779378255208,R,
DC133214271,EGFR,RM,73.149155,R,
DC133214272,TC,R,0.0,R,0.0
DC133214272,DEGFR,R,0.0161144488267419,R,-2.985074626865672
DC133214272,EGFR,R,68.07966807139171,R,65.0
DC133214272,TC,RS,0.0,R,
DC133214272,DEGFR,RS,-0.0389270810682125,R,
DC133214272,EGFR,RS,64.39188556842976,R,
DC133214272,TC,RM,0.0,R,
DC133214272,DEGFR,RM,0.013214111328125,R,
DC133214272,EGFR,RM,67.885345,R,
DC133214273,TC,R,0.0,R,1.0
DC133214273,DEGFR,R,0.0515128721015562,R,-15.384615384615383
DC133214273,EGFR,R,68.34833668660116,R,55.0
DC133214273,TC,RS,0.0,R,
DC133214273,DEGFR,RS,-0.0636706309275584,R,
DC133214273,EGFR,RS,60.8614089897087,R,
DC133214273,TC,RM,0.0,R,
DC133214273,DEGFR,RM,0.0794286874624399,R,
DC133214273,EGFR,RM,70.162865,R,
DC133214274,TC,R,0.0,R,
DC133214274,DEGFR,R,0.2297268745907662,R,
DC133214274,EGFR,R,67.63497810249214,R,
DC133214274,TC,RS,0.0,R,
DC133214274,DEGFR,RS,0.0508648915333791,R,
DC133214274,EGFR,RS,57.79756903433585,R,
DC133214274,TC,RM,0.0,R,
DC133214274,DEGFR,RM,0.1472702719948508,R,
